group,subject,e,answer1,answer2,correct,rt_heard,rt_ans,correct_response,datetime,gender_pos,if_noize,length,list_used,live_row,practice,question,response,response_all_heard,response_time,response_time_all_heard,stimul_filler,stimuli,text,time_all_heard,time_answer,time_noize_screen_setup,time_show_question,time_stimuli_sound,type
young,5,2,В пятницу,В субботу,1,3524,965,z,Sun May 19 16:22:13 2019,Time,2,5339,1,0,yes,Когда день рождения у Катиной подруги?,z,space,462,3524,t,372.wav,В эту пятницу у Катиной подруги будет день рождения.,74010,78051,NA,77548,74010,7
young,5,2,Бархатный,Атласный,1,4391,1595,z,Sun May 19 16:22:13 2019,Adj,2,4336,1,1,yes,Какой был комбинезон?,z,space,1095,4390,t,323.wav,"Даша увидела дочку актрисы, одетую в красивый бархатный комбинезон.",79967,84871,NA,84371,79966,5
young,5,2,Позавчера,Вчера,1,5756,1641,/,Sun May 19 16:22:13 2019,Time,2,5309,1,2,yes,Когда мне сообщили новость?,/,space,1131,5755,t,373.wav,"Позавчера мне сообщили, что у моего друга родилась двойня — мальчик и девочка.",87155,93520,NA,93010,87154,7
young,5,2,Синяя,Красная,1,5802,1684,z,Sun May 19 16:22:13 2019,Adj,2,5014,1,3,yes,Какого цвета была форма проводницы?,z,space,1182,5801,t,334.wav,"Из окна поезда нам помахала рукой сменщица проводницы, одетой в синюю форму.",95945,102268,NA,101766,95944,6
young,5,2,В семь часов,В шесть часов,1,5122,1278,/,Sun May 19 16:22:13 2019,Time,2,4129,1,4,yes,Во сколько начинались курсы?,/,space,777,5122,t,374.wav,Курсы повышения квалификации для бухгалтеров проходили по средам в семь часов вечера.,104590,110226,NA,109725,104590,7
young,5,2,Бизнесмен,Шофер,1,4960,1915,/,Sun May 19 16:22:13 2019,men,2,4660,1,0,no,Кто подвез клиентов до аэропорта?,/,space,1414,4960,s,264.wav,"Лиза созвонилась с шофером бизнесмена, подвозившего клиентов до аэропорта",115540,121014,NA,120513,115540,4
young,5,2,Косметики,Одежды,1,4022,1221,z,Sun May 19 16:22:13 2019,Obj,2,3244,1,1,no,Чего много у подруги?,z,space,720,4021,f,355.wav,У моей лучшей подруги много качественной косметики.,123913,128449,NA,127948,123912,7
young,5,2,Троллейбусы,Автобусы,1,5903,1615,/,Sun May 19 16:22:13 2019,Subj,2,5869,1,2,no,Какой транспорт не ходил?,/,space,1113,5901,f,367.wav,"Поскольку из-за снегопада не ходили троллейбусы, жителям пришлось добираться до метро пешком.",130548,136973,NA,136471,130546,7
young,5,2,Филологический,Исторический,1,4355,1527,/,Sun May 19 16:22:13 2019,Adj,2,4041,1,3,no,На какой факультет перевелись студенты?,/,space,1026,4353,f,335.wav,Пятеро студентов перевелись на филологический факультет в конце осени.,139524,144391,NA,143890,139522,7
young,5,2,Вера,Вика,1,4909,1564,/,Sun May 19 16:22:13 2019,Subj,2,4896,1,4,no,Кто думал о брате соседа?,/,space,1064,4908,f,327.wav,"Вера постоянно думала о брате соседа, недавно переехавшего в их дом.",146834,152255,NA,151755,146833,6
young,5,2,Внуку,Сыну,1,4138,2279,/,Sun May 19 16:22:13 2019,Obj,2,3687,1,5,no,Кому соседи купили велосипед?,/,space,1778,4138,f,358.wav,Наши соседи купили старшему внуку горный велосипед.,155233,159889,NA,159388,155233,7
young,5,2,В клубе,В ресторане,1,5982,1535,z,Sun May 19 16:22:13 2019,Loc,2,5987,1,6,no,Где был Дима?,z,space,1033,5981,f,328.wav,"В клубе Дима познакомился с братом друга, рассказавшего ему много подробностей о своей биографии.",163500,169996,NA,169494,163499,6
young,5,2,Серый,Рыжий,1,4467,1448,/,Sun May 19 16:22:13 2019,Adj,2,4424,1,7,no,Какого цвета был кот?,/,space,947,4467,f,338.wav,Лена забрала домой бездомного серого кота и напоила его молоком.,172451,177434,NA,176933,172451,7
